funzionalita	profilo	ripetizione	budget	tetto	prompt_tokens	completion_tokens	reasoning_tokens	total_tokens	pct_tetto	aria_residua	troncato	secondi	esito
estimateMacrosLegacy	Ignazio	1	400	1000	163	143	88	306	14.3	857	no	1.03	ok
estimateSingleItem	Ignazio	1	400	1000	167	94	64	261	9.4	906	no	0.63	ok
getAdvice	Ignazio	1	300	900	609	595	303	1204	66.1	305	no	1.74	ok
_trainGenAINote	Ignazio	1	150	750	573	83	12	656	11.1	667	no	0.84	ok
ensureRestCue	Ignazio	1	200	800	392	75	29	467	9.4	725	no	0.72	ok
openExerciseAI	Ignazio	1	200	800	392	72	24	464	9.0	728	no	0.62	ok
_pianoV4GenerateReasoning	Ignazio	1	200	800	291	92	6	383	11.5	708	no	0.47	ok
estimateMealItems	Ignazio	1	400	1000	341	404	256	745	40.4	596	no	1.32	ok
estimateMealItems	Ignazio	2	400	1000	341	520	291	861	52.0	480	no	1.39	ok
estimateMealItems	Ignazio	3	400	1000	341	360	208	701	36.0	640	no	1.30	ok
estimateMealItems	Ignazio	4	400	1000	341	327	177	668	32.7	673	no	1.00	ok
estimateMealItems	Ignazio	5	400	1000	341	283	125	624	28.3	717	no	1.60	ok
estimateMealItems	Ignazio	6	400	1000	341	327	171	668	32.7	673	no	1.04	ok
_pianoV4GenerateAndInsertMeals	Ignazio	1	4000	4600	2988	2524	23	5512	54.9	2076	no	6.09	ok
_pianoV4GenerateAndInsertMeals	Ignazio	2	4000	4600	2988	2546	16	5534	55.3	2054	no	5.96	ok
_pianoV4GenerateAndInsertMeals	Ignazio	3	4000	4600	2988	3381	797	6369	73.5	1219	no	7.96	ok
_pianoV4GenerateAndInsertMeals	Ignazio	4	4000	4600	2988	2611	54	5599	56.8	1989	no	6.01	ok
getAdvice	Ignazio	2	300	900	609	346	74	955	38.4	554	no	1.34	ok
getAdvice	Ignazio	3	300	900								2.19	empty-response
getAdvice	Ignazio	4	300	900	609	449	236	1058	49.9	451	no	1.25	ok
getAdvice	Ignazio	5	300	900	609	900	608	1509	100.0	0	SI	2.34	ok
getAdvice	Ignazio	6	300	900	609	794	533	1403	88.2	106	no	2.56	ok
getAdvice	Ignazio	7	300	900	609	467	222	1076	51.9	433	no	1.28	ok
getAdvice	Ignazio	8	300	900	609	682	412	1291	75.8	218	no	1.86	ok
getAdvice	Ignazio	9	300	900	609	450	224	1059	50.0	450	no	1.43	ok
getAdvice	Ignazio	10	300	900	609	648	476	1257	72.0	252	no	1.84	ok
getAdvice	Ignazio	11	300	900	609	408	207	1017	45.3	492	no	1.41	ok
getAdvice	Ignazio	12	300	900	609	393	59	1002	43.7	507	no	1.43	ok
getAdvice	Ignazio	13	300	900	609	366	158	975	40.7	534	no	1.28	ok
getAdvice	Ignazio	14	300	900	609	286	64	895	31.8	614	no	1.06	ok
