sha256	codice_reale	codice_registro	codici_concordano	nome_file_mac	cartella_mac	nome_in_decisioni	nome_catalogo	stato	impronta_da	nota
37047e359852a79a035d8fb10d14db022eb2256d4349e1537aae8dae828ef017		EX001	?	Chest press maniglie elastico in piedi.gif	Pettorali	Chest press elastico maniglie in piedi		pendente	nome originale	
e7c875251c94a43e7a7606b6e062338cb68dfd5680461ff0af4eab1a6aa55ea9	EX616	EX015	NO	Affondo avanti alternato.gif	Gambe e Glutei	Affondo alternato	Affondo avanti alternato	sincronizzato	nome originale	
10a09fa7466577f5fbaac35659348e97b884d35b5d733c9eff700461e98f2c32	EX040	EX040	si	Wall Sit.gif	Gambe e Glutei	Squat wall sit	Squat wall sit	sincronizzato	nome deciso	"file gia rinominato in ""Squat wall sit.gif"""
c33c8c8ffd956d844aec76da14aed626159a5923a7f8ed0d9a965b917701bb99	EX053	EX053	si	Boxe diretti alternati.gif	Cardio e Conditioning	Boxe diretti alternati	Boxe pugni alternati	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Boxe pugni alternati.gif"" path stale corretto (JSON: Boxe alternato.gif)"
88356c85eadd2df87324b869fe3b02bcd2d454062f63181a77b7213c5d3dd893	EX082	EX082	si	Squat cosacco.gif	Gambe e Glutei	Squat cosacco	Squat cosacco	sincronizzato	nome originale	
50a3a7eec880b7ebcc23d11d0b7a3c4cd6d3bf4024540840e3d8178a61b2366b	EX201	EX201	si	Adduzione anca decubito laterale.gif	Gambe e Glutei	Adduzione anca decubito laterale	Adduzione anca decubito laterale piede in appoggio	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Adduzione anca decubito laterale piede in appoggio.gif"""
38355ee2afae8582bca33887eccdf2ed088505e244feb478f12bc73cb45ab9dc		EX551	?	Pushdown elastico in piedi.gif	Tricipiti	Pushdown elastico in piedi		sincronizzato	nome originale	
1384915e79643e1d80a51cf3a14772c481ce136912e1dfc791f6ba17e3004baf	EX587	EX587	si	Battle rope.gif	Cardio e Conditioning	Battle rope onde alternate	Battle rope onde alternate	sincronizzato	nome deciso	"file gia rinominato in ""Battle rope onde alternate.gif"""
f09679bc4e2443430734210c6347416d1ee8db5c66f5dda09ab16601f04a049c	EX588	EX588	si	Box diretto destra sacco.gif	Cardio e Conditioning	Boxe diretto sacco	Boxe diretto al sacco	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Boxe diretto al sacco.gif"""
39773120a5975eabdbe9761cc390e2f20df43b15221fb628ec08e530a83f5a1e	EX589	EX589	si	Box diretto destra.gif	Cardio e Conditioning	Boxe diretto	Boxe diretto alternato	sincronizzato	catena catalogo->bucket	"sul Mac ora si chiama ""Boxe diretto alternato.gif"""
b08701ba5b983efa624ea850cc1f3d6dc32ddfb77a4c4998a0b8dcbc163d1012	EX590	EX591	NO	Boxe footwork in piedi.gif	Cardio e Conditioning	Boxe footwork	Boxe footwork	sincronizzato	nome deciso	"file gia rinominato in ""Boxe footwork.gif"""
