quando	zona	sha256	nome_vecchio	testo
2026-07-31T22:19:09	Addominali e Core	3a2d0f1778a43df8cd38e618c6cecf1fcf43c19e3e55f0c8b2e90373c9fe6aec	Bird dog quadrupedia.gif	Bird dog
2026-08-01T09:54:50	Addominali e Core	f75678c6d93698a93a85d303a55d49816194805a6c17b46a03758fa6488be8fd	Crunch braccia tese (Straight-Arm Crunch).gif	Crunch braccia tese dietro
2026-08-01T09:55:45	Addominali e Core	348e0ec166cbecb523bb50e973a53adbf18577f29e90fe0fec193db569e0012b	Crunch cavo alto (High Cable Crunch).gif	Crunch cavo alto in piedi
2026-08-01T10:04:58	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso 
2026-08-01T10:04:59	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso due 
2026-08-01T10:05:12	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso du
2026-08-01T10:05:13	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso 
2026-08-01T10:05:16	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso petto-gomito
2026-08-01T10:06:08	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso p
2026-08-01T10:06:09	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso 
2026-08-01T10:06:11	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso due ste
2026-08-01T10:06:12	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso due steps
2026-08-01T10:06:13	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso due step
2026-08-01T10:06:43	Addominali e Core	71729d1a5b7ac458e3ca384bf0735a4847fc67ce18557edcde2394c687eadd2e	Crunch inverso gambe tese cavo basso (Reverse Crunch Straight Legs Low Cable).gif	Crunch inverso gambe cavo basso
2026-08-01T10:06:53	Addominali e Core	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	Crunch inverso (Reverse Crunch).gif	Crunch inverso doppio step
2026-08-01T10:07:09	Addominali e Core	9bcce23676d575e3d6a8d5cad6a00ef01a3f089273a816dfee08acce3474b003	Crunch inverso gambe tese sedia romana (Reverse Crunch Straight Legs Roman Chair).gif	Crunch inverso gambe tese panca
2026-08-01T10:07:26	Addominali e Core	9bcce23676d575e3d6a8d5cad6a00ef01a3f089273a816dfee08acce3474b003	Crunch inverso gambe tese sedia romana (Reverse Crunch Straight Legs Roman Chair).gif	Crunch inverso gambe tese panca piana
2026-08-01T10:07:38	Addominali e Core	812433ff467d800b710942f4f0681e95e4979d16326ffd78f539e0cc6b60a01f	Crunch inverso panca declinata (Reverse Crunch Decline Bench).gif	Crunch inverso gamabpanca declinata
2026-08-01T10:07:39	Addominali e Core	812433ff467d800b710942f4f0681e95e4979d16326ffd78f539e0cc6b60a01f	Crunch inverso panca declinata (Reverse Crunch Decline Bench).gif	Crunch inverso gampanca declinata
2026-08-01T10:07:42	Addominali e Core	812433ff467d800b710942f4f0681e95e4979d16326ffd78f539e0cc6b60a01f	Crunch inverso panca declinata (Reverse Crunch Decline Bench).gif	Crunch inverso gambe tese panca declinata
2026-08-01T10:07:54	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto
2026-08-01T10:07:59	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto 
2026-08-01T10:08:02	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto panca
2026-08-01T10:08:02	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto panca 
2026-08-01T10:08:03	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto panca p
2026-08-01T10:08:05	Addominali e Core	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto panca piana
2026-08-01T10:09:15	Addominali e Core	08d9567bda73be1a65ba357b64a46273d97ddbcd44d11b93b4ef3826840d518e	Crunch macchina seduto (Seated Machine Crunch).gif	Crunch machine seduto
2026-08-01T10:12:02	Addominali e Core	dee44656eb14ccccb5912e9f9e7f18d6c40d7d8efd76e32692e62ab6a02023cc	Crunch mani al petto piedi a terra (Crunch Hands-on-Chest Feet Down).gif	Crunch mani al petto 
2026-08-01T10:12:03	Addominali e Core	dee44656eb14ccccb5912e9f9e7f18d6c40d7d8efd76e32692e62ab6a02023cc	Crunch mani al petto piedi a terra (Crunch Hands-on-Chest Feet Down).gif	Crunch mani al petto
2026-08-01T10:15:43	Addominali e Core	ff88ed7f2eb10f08adabd512a41f53139bf7f977dac31988a3f9959743583a89	Crunch rotazione (Twisting Crunch).gif	Crunch oblirotazione
2026-08-01T10:15:44	Addominali e Core	ff88ed7f2eb10f08adabd512a41f53139bf7f977dac31988a3f9959743583a89	Crunch rotazione (Twisting Crunch).gif	Crunch obliquo rotazione
2026-08-01T10:16:00	Addominali e Core	3ea75a42f5e26de8ebaf03b25be6b7b4f346bd647d7ac67f368be4017827a945	Crunch sforbiciata gambe tese (Scissor Crunch Straight Legs).gif	Crunch sforbiciata ampia
2026-08-01T10:24:52	Addominali e Core	22afdb58ecd597bb7fb607ebdfeae38d56f02ad40c6bc38cf9e9fe21f89457fb	Crunch sospeso a testa in giu sbarra (Inverted hang sit up).gif	Trazione sbarra a corpo capovolto
2026-08-01T10:25:22	Addominali e Core	c0f97aeb98e14df7cfa6890dc96410e125ab8b4fd1668a8a8d3cae2fbc59920c	Crunch tocco caviglie (Ankle Touch Crunch).gif	Crunch obltocco caviglie
2026-08-01T10:25:24	Addominali e Core	c0f97aeb98e14df7cfa6890dc96410e125ab8b4fd1668a8a8d3cae2fbc59920c	Crunch tocco caviglie (Ankle Touch Crunch).gif	Crunch oblitocco caviglie
2026-08-01T10:25:26	Addominali e Core	c0f97aeb98e14df7cfa6890dc96410e125ab8b4fd1668a8a8d3cae2fbc59920c	Crunch tocco caviglie (Ankle Touch Crunch).gif	Crunch obliquo tocco caviglie
2026-08-01T10:29:22	Addominali e Core	f07568b057debfb90adf444320961ec3713e8dde28fd5e9fd86ef7eec3129388	Flessione laterale busto panca inclinata (Incline Bench Side Bend).gif	Flessione laterale busto panca roan
2026-08-01T10:29:24	Addominali e Core	f07568b057debfb90adf444320961ec3713e8dde28fd5e9fd86ef7eec3129388	Flessione laterale busto panca inclinata (Incline Bench Side Bend).gif	Flessione laterale busto panca ro
2026-08-01T10:29:25	Addominali e Core	f07568b057debfb90adf444320961ec3713e8dde28fd5e9fd86ef7eec3129388	Flessione laterale busto panca inclinata (Incline Bench Side Bend).gif	Flessione laterale busto panca romana
2026-08-01T10:29:47	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	CruForbice panca seduto
2026-08-01T10:29:48	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	CrunForbice panca seduto
2026-08-01T10:29:50	Addominali e Core	2df8d077c4a0b75604588ace71a89290d1bf034313fd35aa8be58ebbe7250e45	Forbice panca seduto (Seated Bench Flutter Kick).gif	CruncForbice panca seduto
