quando	zona	chiave	sezione	slug	file	confronto	scelta	nota
2026-08-17T21:04:25	Pettorali	sez1:chest-press-elastico-inclinato	1	chest-press-elastico-inclinato	Chest press elastico inclinato.gif		stesso movimento	
2026-08-17T21:04:36	Pettorali	sez2:piegamenti-un-braccio-palla-medica|EX388	2	piegamenti-un-braccio-palla-medica	Piegamenti un braccio palla medica.gif	EX388	movimento diverso	
2026-08-17T21:04:40	Pettorali	sez2:piegamenti-archer-braccio-rialzato|EX377	2	piegamenti-archer-braccio-rialzato	Piegamenti archer braccio rialzato.gif	EX377	movimento diverso	
2026-08-17T21:04:48	Pettorali	sez2:piegamenti-deficit-kettlebell|EX380	2	piegamenti-deficit-kettlebell	Piegamenti deficit kettlebell.gif	EX380	movimento diverso	
2026-08-17T21:04:55	Pettorali	sez2:piegamenti-declinati-fitball|EX379	2	piegamenti-declinati-fitball	Piegamenti declinati fitball.gif	EX379	movimento diverso	
2026-08-17T21:05:29	Pettorali	sez2:piegamenti-declinati-fitball|EX379	2	piegamenti-declinati-fitball	Piegamenti declinati fitball.gif	EX379	stesso movimento	Movimento uguale, attrezzatura diversa.
2026-08-17T21:05:32	Pettorali	sez2:piegamenti-mani-incrociate|EX384	2	piegamenti-mani-incrociate	Piegamenti mani incrociate.gif	EX384	movimento diverso	
2026-08-17T21:05:45	Pettorali	sez2:piegamenti-mani-incrociate|EX384	2	piegamenti-mani-incrociate	Piegamenti mani incrociate.gif	EX384	movimento diverso	
2026-08-17T21:05:49	Pettorali	sez2:piegamenti-mani-incrociate|EX387	2	piegamenti-mani-incrociate	Piegamenti mani incrociate.gif	EX387	movimento diverso	
2026-08-17T21:05:57	Pettorali	sez3:adduzione-braccio-elastico-in-piedi	3	adduzione-braccio-elastico-in-piedi	Adduzione braccio elastico in piedi.gif		entra a catalogo	
2026-08-17T21:06:01	Pettorali	sez3:croci-trx	3	croci-trx	Croci TRX.gif		entra a catalogo	
2026-08-17T21:06:06	Pettorali	sez3:dip-anelli	3	dip-anelli	Dip anelli.gif		entra a catalogo	
2026-08-17T21:06:16	Pettorali	sez3:dip-coreano-parallele	3	dip-coreano-parallele	Dip coreano parallele.gif		entra a catalogo	
2026-08-17T21:06:22	Pettorali	sez3:dip-parallele	3	dip-parallele	Dip parallele.gif		entra a catalogo	
2026-08-17T21:06:26	Pettorali	sez3:dip-parallele-impossible	3	dip-parallele-impossible	Dip parallele impossible.gif		entra a catalogo	
2026-08-17T21:06:30	Pettorali	sez3:dip-sedie	3	dip-sedie	Dip sedie.gif		entra a catalogo	
2026-08-17T21:06:34	Pettorali	sez3:lancio-al-petto-palla-medica-al-muro	3	lancio-al-petto-palla-medica-al-muro	Lancio al petto palla medica al muro.gif		entra a catalogo	
2026-08-17T21:06:44	Pettorali	sez3:piegamenti-deficit-slancio-panche-piane	3	piegamenti-deficit-slancio-panche-piane	Piegamenti deficit slancio panche piane.gif		entra a catalogo	
2026-08-17T21:06:50	Pettorali	sez3:piegamenti-gamba-sollevata	3	piegamenti-gamba-sollevata	Piegamenti gamba sollevata.gif		entra a catalogo	
2026-08-17T21:06:54	Pettorali	sez3:piegamenti-pliometrici-tocco-petto	3	piegamenti-pliometrici-tocco-petto	Piegamenti pliometrici tocco petto.gif		entra a catalogo	
2026-08-17T21:06:58	Pettorali	sez3:piegamenti-sovraccarico-disco	3	piegamenti-sovraccarico-disco	Piegamenti sovraccarico disco.gif		entra a catalogo	
2026-08-17T21:07:05	Pettorali	sez3:piegamenti-sui-pugni	3	piegamenti-sui-pugni	Piegamenti sui pugni.gif		entra a catalogo	
2026-08-17T21:07:09	Pettorali	sez3:piegamenti-sulle-dita	3	piegamenti-sulle-dita	Piegamenti sulle dita.gif		entra a catalogo	
2026-08-17T21:07:12	Pettorali	sez4:piegamenti-fitball	4	piegamenti-fitball	Piegamenti fitball.gif		entra a catalogo	
2026-08-17T21:07:18	Pettorali	sez4:piegamenti-indu	4	piegamenti-indu	Piegamenti indù.gif		entra a catalogo	
2026-08-17T21:07:27	Pettorali	sez4:piegamenti-planche	4	piegamenti-planche	Piegamenti planche.gif		entra a catalogo	
2026-08-17T21:07:31	Pettorali	sez4:piegamenti-trx	4	piegamenti-trx	Piegamenti TRX.gif		entra a catalogo	
2026-08-17T21:07:36	Pettorali	sez4:piegamenti-un-braccio	4	piegamenti-un-braccio	Piegamenti un braccio.gif		entra a catalogo	
2026-08-17T21:07:41	Pettorali	sez4:piegamenti-un-braccio	4	piegamenti-un-braccio	Piegamenti un braccio.gif		entra a catalogo	
2026-08-17T21:07:43	Pettorali	sez4:piegamenti-un-braccio	4	piegamenti-un-braccio	Piegamenti un braccio.gif		entra a catalogo	
