quando	zona	da	a	sha256	esito	dettaglio
2026-08-01T10:00:05	Addominali e Core	Bird dog quadrupedia.gif	Bird dog.gif	3a2d0f1778a43df8cd38e618c6cecf1fcf43c19e3e55f0c8b2e90373c9fe6aec	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch bicicletta (Bicycle Crunch).gif	Crunch bicicletta.gif	a222473e31913c710f178be3f8aaa2ff276a9ca0be3a077c365d10ed4d942489	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch bicicletta gambe tese 45 (Bicycle Crunch Straight Legs).gif	Crunch bicicletta gambe tese 45 gradi.gif	1e3fad9625293c8cc1b12bbaca2264df7776712a0d0604978299e62899749feb	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch braccia tese (Straight-Arm Crunch).gif	Crunch braccia tese dietro.gif	f75678c6d93698a93a85d303a55d49816194805a6c17b46a03758fa6488be8fd	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch braccia tese gambe 45 (Straight-Arm Crunch Legs 45).gif	Crunch braccia tese gambe 45 gradi.gif	acef314e91d1a3cc4c0f959d2899210072f4de0fb9a94e4c6ad50651182d2c58	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch cavo alto (High Cable Crunch).gif	Crunch cavo alto.gif	348e0ec166cbecb523bb50e973a53adbf18577f29e90fe0fec193db569e0012b	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch cavo alto in ginocchio (Kneeling High Cable Crunch).gif	Crunch cavo alto in ginocchio.gif	95a881df7a2b8e8dee9965978d56b055d30a3188c1215d37bf67f5ab0160f23d	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch con peso (Weighted Crunch).gif	Crunch con peso.gif	86c17e6c98914416476c9938525329844127ea4168eccd1f1ac59770c104ce97	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch farfalla gomiti-ginocchia (Butterfly Elbow-to-Knee Crunch).gif	Crunch farfalla gomiti-ginocchia.gif	5620ce03dc4d477caa8c70c85661d897bc0da56bc5115a0351e4f180edadcd5d	rinominato	
2026-08-01T10:00:05	Addominali e Core	Crunch flessione ginocchia (Crunch with Knee Tuck).gif	Crunch flessione ginocchia.gif	e5456f2f9320f9d98b55a3e593ce3b573beaa82d705977d2c2affd7e62a405ad	rinominato	
2026-08-01T10:12:22	Addominali e Core	Bird dog quadrupedia.gif	Bird dog.gif	3a2d0f1778a43df8cd38e618c6cecf1fcf43c19e3e55f0c8b2e90373c9fe6aec	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch bicicletta (Bicycle Crunch).gif	Crunch bicicletta.gif	a222473e31913c710f178be3f8aaa2ff276a9ca0be3a077c365d10ed4d942489	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch bicicletta gambe tese 45 (Bicycle Crunch Straight Legs).gif	Crunch bicicletta gambe tese 45 gradi.gif	1e3fad9625293c8cc1b12bbaca2264df7776712a0d0604978299e62899749feb	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch braccia tese (Straight-Arm Crunch).gif	Crunch braccia tese dietro.gif	f75678c6d93698a93a85d303a55d49816194805a6c17b46a03758fa6488be8fd	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch braccia tese gambe 45 (Straight-Arm Crunch Legs 45).gif	Crunch braccia tese gambe 45 gradi.gif	acef314e91d1a3cc4c0f959d2899210072f4de0fb9a94e4c6ad50651182d2c58	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch cavo alto (High Cable Crunch).gif	Crunch cavo alto.gif	348e0ec166cbecb523bb50e973a53adbf18577f29e90fe0fec193db569e0012b	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch cavo alto in ginocchio (Kneeling High Cable Crunch).gif	Crunch cavo alto in ginocchio.gif	95a881df7a2b8e8dee9965978d56b055d30a3188c1215d37bf67f5ab0160f23d	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch con peso (Weighted Crunch).gif	Crunch con peso.gif	86c17e6c98914416476c9938525329844127ea4168eccd1f1ac59770c104ce97	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch farfalla gomiti-ginocchia (Butterfly Elbow-to-Knee Crunch).gif	Crunch farfalla gomiti-ginocchia.gif	5620ce03dc4d477caa8c70c85661d897bc0da56bc5115a0351e4f180edadcd5d	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch flessione ginocchia (Crunch with Knee Tuck).gif	Crunch flessione ginocchia.gif	e5456f2f9320f9d98b55a3e593ce3b573beaa82d705977d2c2affd7e62a405ad	saltato	file non trovato con il nome vecchio
2026-08-01T10:12:22	Addominali e Core	Crunch inverso (Reverse Crunch).gif	Crunch inverso doppio step.gif	eb54914b4139ea864300012c32cd3b99c5b1b551dd7408dfaff40ebfe2d36fbb	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch inverso gambe tese cavo basso (Reverse Crunch Straight Legs Low Cable).gif	Crunch inverso gambe cavo basso.gif	71729d1a5b7ac458e3ca384bf0735a4847fc67ce18557edcde2394c687eadd2e	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch inverso gambe tese sedia romana (Reverse Crunch Straight Legs Roman Chair).gif	Crunch inverso gambe tese panca piana.gif	9bcce23676d575e3d6a8d5cad6a00ef01a3f089273a816dfee08acce3474b003	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch inverso panca declinata (Reverse Crunch Decline Bench).gif	Crunch inverso gambe tese panca declinata.gif	812433ff467d800b710942f4f0681e95e4979d16326ffd78f539e0cc6b60a01f	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch inverso panca seduto (Seated Reverse Crunch Bench).gif	Crunch inverso seduto panca piana.gif	a66b1f48f1ea52ef9af4e2c175141720cb44f4fe6a807823d97c883d247bb234	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch laterale sul fianco (Side-Lying Lateral Crunch).gif	Crunch laterale sul fianco.gif	f0e5ef828d342aca3a772097b8d16c850b6935d3c2d4f7edc5bdf4e64f235b5e	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch macchina seduto (Seated Machine Crunch).gif	Crunch machine seduto.gif	08d9567bda73be1a65ba357b64a46273d97ddbcd44d11b93b4ef3826840d518e	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch mani al petto gambe 90 (Crunch Hands-on-Chest Legs 90).gif	Crunch mani al petto gambe 90 gradi.gif	48a4f9c79702a858c449a2e7ed6ab0190fa1fba4d720def43a3078d779d154f8	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch mani al petto piedi a terra (Crunch Hands-on-Chest Feet Down).gif	Crunch mani al petto.gif	dee44656eb14ccccb5912e9f9e7f18d6c40d7d8efd76e32692e62ab6a02023cc	rinominato	
2026-08-01T10:12:22	Addominali e Core	Crunch mani dietro testa (Crunch Hands Behind Head).gif	Crunch mani dietro testa.gif	9d62f527c2b4f23a780398867b3847478d86fde55fb80aedc25dea9843c071d8	rinominato	
2026-08-01T10:26:15	Addominali e Core	Bird dog quadrupedia.gif	Bird dog.gif	3a2d0f1778a43df8cd38e618c6cecf1fcf43c19e3e55f0c8b2e90373c9fe6aec	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch bicicletta (Bicycle Crunch).gif	Crunch bicicletta.gif	a222473e31913c710f178be3f8aaa2ff276a9ca0be3a077c365d10ed4d942489	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch bicicletta gambe tese 45 (Bicycle Crunch Straight Legs).gif	Crunch bicicletta gambe tese 45 gradi.gif	1e3fad9625293c8cc1b12bbaca2264df7776712a0d0604978299e62899749feb	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch braccia tese (Straight-Arm Crunch).gif	Crunch braccia tese dietro.gif	f75678c6d93698a93a85d303a55d49816194805a6c17b46a03758fa6488be8fd	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch braccia tese gambe 45 (Straight-Arm Crunch Legs 45).gif	Crunch braccia tese gambe 45 gradi.gif	acef314e91d1a3cc4c0f959d2899210072f4de0fb9a94e4c6ad50651182d2c58	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch cavo alto (High Cable Crunch).gif	Crunch cavo alto.gif	348e0ec166cbecb523bb50e973a53adbf18577f29e90fe0fec193db569e0012b	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch cavo alto in ginocchio (Kneeling High Cable Crunch).gif	Crunch cavo alto in ginocchio.gif	95a881df7a2b8e8dee9965978d56b055d30a3188c1215d37bf67f5ab0160f23d	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch con peso (Weighted Crunch).gif	Crunch con peso.gif	86c17e6c98914416476c9938525329844127ea4168eccd1f1ac59770c104ce97	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch farfalla gomiti-ginocchia (Butterfly Elbow-to-Knee Crunch).gif	Crunch farfalla gomiti-ginocchia.gif	5620ce03dc4d477caa8c70c85661d897bc0da56bc5115a0351e4f180edadcd5d	saltato	file non trovato con il nome vecchio
2026-08-01T10:26:15	Addominali e Core	Crunch flessione ginocchia (Crunch with Knee Tuck).gif	Crunch flessione ginocchia.gif	e5456f2f9320f9d98b55a3e593ce3b573beaa82d705977d2c2affd7e62a405ad	saltato	file non trovato con il nome vecchio
