quando	zona	codice	nome_catalogo	slug_vecchio	slug_nuovo	nome_file_nuovo	sha256
2026-08-01T09:54:57	Addominali e Core	EX143	Crunch braccia tese	crunch-braccia-tese	crunch-braccia-tese-dietro	Crunch braccia tese dietro.gif	f75678c6d93698a93a85d303a55d49816194805a6c17b46a03758fa6488be8fd
2026-08-01T10:07:44	Addominali e Core	EX154	Crunch inverso panca declinata	crunch-inverso-panca-declinata	crunch-inverso-gambe-tese-panca-declinata	Crunch inverso gambe tese panca declinata.gif	812433ff467d800b710942f4f0681e95e4979d16326ffd78f539e0cc6b60a01f
2026-08-01T10:09:29	Addominali e Core	EX142	Crunch macchina seduto	crunch-macchina-seduto	crunch-machine-seduto	Crunch machine seduto.gif	08d9567bda73be1a65ba357b64a46273d97ddbcd44d11b93b4ef3826840d518e
2026-08-01T10:12:04	Addominali e Core	EX146	Crunch mani al petto piedi a terra	crunch-mani-al-petto-piedi-a-terra	crunch-mani-al-petto	Crunch mani al petto.gif	dee44656eb14ccccb5912e9f9e7f18d6c40d7d8efd76e32692e62ab6a02023cc
2026-08-01T10:15:51	Addominali e Core	EX135	Crunch rotazione	crunch-rotazione	crunch-obliquo-rotazione	Crunch obliquo rotazione.gif	ff88ed7f2eb10f08adabd512a41f53139bf7f977dac31988a3f9959743583a89
2026-08-01T10:25:01	Addominali e Core	EX574	Crunch sospeso a testa in giù sbarra	crunch-sospeso-a-testa-in-giu-sbarra	trazione-sbarra-a-corpo-capovolto	Trazione sbarra a corpo capovolto.gif	22afdb58ecd597bb7fb607ebdfeae38d56f02ad40c6bc38cf9e9fe21f89457fb
2026-08-01T10:25:29	Addominali e Core	EX137	Crunch tocco caviglie	crunch-tocco-caviglie	crunch-obliquo-tocco-caviglie	Crunch obliquo tocco caviglie.gif	c0f97aeb98e14df7cfa6890dc96410e125ab8b4fd1668a8a8d3cae2fbc59920c
2026-08-01T10:28:14	Addominali e Core	EX136	Crunch sforbiciata gambe tese	crunch-sforbiciata-gambe-tese	crunch-sforbiciata-ampia	Crunch sforbiciata ampia.gif	3ea75a42f5e26de8ebaf03b25be6b7b4f346bd647d7ac67f368be4017827a945
2026-08-01T10:29:27	Addominali e Core	EX167	Flessione laterale busto panca inclinata	flessione-laterale-busto-panca-inclinata	flessione-laterale-busto-panca-romana	Flessione laterale busto panca romana.gif	f07568b057debfb90adf444320961ec3713e8dde28fd5e9fd86ef7eec3129388
2026-08-01T10:31:52	Addominali e Core	EX169	Knee raise sbarra in sospensione	knee-raise-sbarra-in-sospensione	sollevamento-gambe-piegate-in-sospensione	Sollevamento gambe piegate in sospensione.gif	fcd8aeea97c55cf7ccb887c6cc5fab69f453ca3e6d5f65398df8ea77e8bae055
2026-08-01T10:33:35	Addominali e Core	EX621	Lancio rotazionale palla medica al muro		lancio-rotazionale-palla-medica-al-muro	Lancio rotazionale palla medica al muro.gif	617cb4cb2139d7db8a4ba5de12a2f1f3d3f3137678d747bead589e25b56af8a5
2026-08-01T10:35:02	Addominali e Core	EX577	Piegamenti tocco incrociato	piegamenti-tocco-incrociato	piegamenti-tocco-incrociato-spalla	Piegamenti tocco incrociato spalla.gif	385d984e4c4a85e50f92ea7f643e227539ceaf552beb10aaaef010b6995a9776
2026-08-01T10:35:22	Addominali e Core	EX173	Pike fitball	pike-fitball	plank-pike-fitball	Plank pike fitball.gif	8cef3d0b8fef7f15d455e34aae7a74ffdc40dd430850a04def2c3a4766266388
2026-08-01T10:36:04	Addominali e Core	EX175	Plank avanti indietro avambracci	plank-avanti-indietro-avambracci	plank-avambracci-avanti-indietro	Plank avambracci avanti-indietro.gif	505dc2161792df03d74455fa36bd2cd108e3c901df0706580e2cda9d10d7f9b0
