quando	zona	tipo	sha256	slug_a	codici_a	slug_b	codici_b	nota
2026-08-03T03:08:42	Addominali e Core	coppia			EX021		EX176	
2026-08-03T03:08:42	Addominali e Core	coppia			EX139		EX184	
2026-08-03T03:08:42	Addominali e Core	coppia			EX042		EX178	
2026-08-03T03:08:42	Addominali e Core	coppia					EX103	"file Mac ""Russian twist"" di contenuto diverso da EX103"
2026-08-03T03:08:42	Gambe e Glutei	coppia	bc6053d01b6789e92a618846509f702d7cb46ef6b602181b0de8881a700cdd01	leg-curl-bilaterale-macchina-seduta-prese-anteriori		leg-curl-bilaterale-macchina-seduta		stesso SHA-256 nel bucket
2026-08-03T03:08:42	Gambe e Glutei	coppia	cb6e1394da0aa481bff8c8b45a5af8d6168db7cb039ad43bab61fbb426e3a41d	estensione-anca-bilanciere	EX228	stacco-rumeno-una-gamba-bilanciere	EX289	stesso SHA-256 nel bucket
2026-08-03T03:08:42	Gambe e Glutei	coppia	fe67588edbb890cb52a23bb0f1f803db130a1dbf8b6638260c09d9d96197fa06	leg-curl-macchina-ginocchio-rialzato	EX247	leg-curl-unilaterale-macchina-piedi-supporto-coscia		stesso SHA-256 nel bucket
2026-08-03T03:08:42	Gambe e Glutei	riga orfana		affondo-bulgaro-corpo-libero	(nessuno)			storage_path senza oggetto: Gambe e Glutei/Affondo bulgaro a corpo libero.gif
2026-08-03T03:08:42	Gambe e Glutei	riga orfana		leg-extension	(nessuno)			storage_path senza oggetto: Gambe e Glutei/Leg extension.gif
2026-08-03T03:08:42	Gambe e Glutei	riga orfana		ponte-dei-glutei	(nessuno)			storage_path senza oggetto: Gambe e Glutei/Ponte glutei a corpo libero.gif
2026-08-03T03:08:42	Gambe e Glutei	riga orfana		squat	(nessuno)			storage_path senza oggetto: Gambe e Glutei/Squat a corpo libero.gif
2026-08-03T16:02:05	Gambe e Glutei	zona da trasferire	8985b3f51bdf676005206b9a4e679d9f79d7b0f10dc7db8c330f6b3cb8a58d31	swing-elastico-maniglie	(nessuno)			"gesto di spalla, non di gamba: nella fase bassa il lavoro e' d'anca (glutei e ischiocrurali), ma nella fase alta l'anca e' gia' estesa, le braccia salgono all'altezza delle spalle a corpo eretto e la tensione dell'elastico la regge il deltoide anteriore - l'anca da' solo l'avvio. DESTINAZIONE Spalle e Cuffia. NON si sposta ora: vale la regola ""la zona comanda"", in questo cantiere si conferma dentro Gambe e Glutei col nome del gesto reale. Il trasferimento si esegue all'apertura di Spalle e Cuffia e comporta lo spostamento COORDINATO di file sul Mac + oggetto nel bucket + storage_path della riga, piu' revisione di gruppo_muscolare (oggi 'Glutei'). Muoverlo adesso aprirebbe una deroga alla regola che tiene la cartella del Mac intatta come fonte dell'assegnazione di zona, e non si apre a meta' cantiere. Nome al momento della decisione: 'Swing elastico maniglie.gif' (era 'Swing maniglie elastico barra piedi.gif', rinominato 2026-08-03T16:00:54): il nome cambia, l'impronta no. Decisione presa il 3 ago 2026 durante la conferma visiva di Gambe e Glutei."
2026-08-04T16:56:57	Gambe e Glutei	coppia — nome unico deciso	9c38b502463f (tenuto, EX291) / 798e02e86947 (doppione, EX229)	stacco-rumeno-una-gamba-manubri	EX291 (tenuto)	estensione-anca-manubri	EX229 (doppione)	UNIFICARE SU UN SOLO NOME: 'Stacco rumeno una gamba manubri' (slug stacco-rumeno-una-gamba-manubri). Deciso da Ignazio il 4 ago 2026 dopo confronto a video delle due GIF affiancate: e' lo stesso esercizio. EX229 e' a catalogo 'Estensione anca manubri' (isolamento/glutei), EX291 'Stacco rumeno una gamba manubri' (dominante anca/ischiocrurali): la classificazione di EX229 va rivista insieme al nome. NEL PIANO DI MIGRAZIONE RESTA UN SOLO OGGETTO: quello del Mac, impronta 9c38b502463f (EX291), gia' confermato con questo nome. L'oggetto 798e02e86947 (bucket 'Gambe e Glutei/Estensione anca manubri (dumbbell hip extension).gif', puntato da EX229) e' trattato come DOPPIONE: escluso dal piano, non rinominato, catena lasciata viva e intatta. Il suo file sul Mac era gia' stato cancellato il 3 ago; la sua conferma di nome nel registro ('Stacco rumeno una gamba manubri 2', slug_applicabile=no) e' superata da questa decisione e non va applicata. Quale dei due codici sopravvive, e la sorte dell'oggetto doppio nel bucket, si decidono nel giro unico di consolidamento.
2026-08-04T16:24:13	Gambe e Glutei	doppione scartato	53bf44b9de47012f4f6c6581e0bad3f19ce3b2b225e970e8413637a117c6005c	jumping-pistol-box-2	(nessuno)	jumping-pistol-box	(nessuno)	stesso esercizio confermato a vista da Ignazio il 3 ago. File Mac 'Jumping pistol box 2.gif' ELIMINATO dalla cartella: esce dal piano di migrazione, nel bucket deve finire un solo oggetto (quello senza numero). Contenuto integro nel bucket come 'Cardio e Conditioning/Pistol jump box.gif', verificato per SHA prima della cancellazione. Nessuna riga d'indice e nessun codice puntavano a questa voce. Era uno degli otto salti con oggetto parcheggiato in Cardio.
2026-08-04T21:40:16	Gambe e Glutei	oggetto da eliminare — codici riagganciati	c200128141d1 (esce) -> fc602a542d5a (resta)	affondo-alternato-corpo-libero + affondo-unilaterale-corpo-libero	EX015 + EX323	affondo-sul-posto	EX015 + EX323 (destinazione)	Deciso da Ignazio il 4 ago 2026. I due codici che oggi puntano all'oggetto 'Gambe e Glutei/Affondo unilaterale sul posto a corpo libero.gif' (impronta c200128141d1, servito da DUE slug) vengono riagganciati alla GIF 'Affondo sul posto' (impronta fc602a542d5a, oggi 'mai caricato', che il piano carica come nuova con slug affondo-sul-posto). Nome definitivo: quello confermato per la GIF che resta, 'Affondo sul posto'. L'oggetto vecchio ESCE DAL PIANO ed e' eliminabile. *** ORDINE OBBLIGATORIO: l'eliminazione avviene SOLO in fase 7, dopo che il sync del Sheet ha spostato gif_slug di EX015 e EX323 su affondo-sul-posto e dopo la verifica via Worker. Eliminare prima lascerebbe due codici vivi senza immagine. *** Restano da eliminare: l'oggetto del bucket e le sue due righe d'indice. APERTO: EX015 'Affondo alternato corpo libero' ed EX323 'Affondo unilaterale corpo libero' sono due nomi diversi che condivideranno una sola GIF (Strada A). Se sono lo stesso esercizio vanno consolidati; se no, uno dei due ha bisogno di una GIF propria.
2026-08-05T11:43:56	Gambe e Glutei	coppia		estensione-anca-manubri	EX229	stacco-rumeno-una-gamba-manubri	EX291	stesso esercizio, SHA diversi ma stesso disegno (12 frame 360x360, differenza solo rumore di compressione, max 0,04% dei pixel); differiscono nelle durate frame: EX229 200 ms uniformi, EX291 pause 1000 ms sui frame 0 e 6. SOPRAVVIVE EX291: classificazione corretta (dominante anca / ischiocrurali), riproduzione con pause sulle posizioni chiave, 12 righe training_logs + 12 workout_sets. EX229 muore: 0 storico, 0 schede su 96. Deciso da Ignazio il 2026-08-05
2026-08-05T11:43:56	Gambe e Glutei	coppia	cb6e1394da0aa481bff8c8b45a5af8d6168db7cb039ad43bab61fbb426e3a41d	estensione-anca-bilanciere	EX228	stacco-rumeno-una-gamba-bilanciere	EX289	stesso SHA-256 nel bucket, due oggetti a contenuto identico. SOPRAVVIVE EX289: classificazione corretta (dominante anca / ischiocrurali / avanzato / lombare+equilibrio) contro EX228 (isolamento / glutei, campi dell'esercizio che credeva di essere). Storico 0 su entrambi, 0 schede su 96. EX228 e EX229 si citano solo a vicenda in alternativa: morendo insieme non lasciano riferimenti pendenti. Deciso da Ignazio il 2026-08-05, sostituisce la riga del 2026-08-03T03:08:42 sulla stessa coppia
2026-08-06T10:44:10	Gambe e Glutei	coppia		pistol-jump-box	EX617	jumping-pistol-box	(nessuno)	stessa animazione re-codificata: 90 frame entrambe, 1080x1080, durata totale 9000 vs 8990 ms, pose identiche a tutti i frame campionati; la differenza pixel (~55k su 1,17 M) si riduce a ~16k allineando di 1-3 px e il miglior offset cambia da frame a frame, quindi e' un riscalamento, non due esecuzioni diverse. Il '2' nel nome non distingueva due esercizi: marcava un doppione. SOPRAVVIVE la riga 'jumping-pistol-box' (oggetto gia' in 'Gambe e Glutei/', zona giusta per regola 10); l'oggetto 'Cardio e Conditioning/Pistol jump box.gif' esce. EX617 prende nome 'Jumping pistol box' e slug 'jumping-pistol-box'. Conseguenza sul pezzo 2: la GIF libera 'Jumping pistol box' NON e' un esercizio nuovo, esce dalle 37. Rilevato il 2026-08-05, da confermare guardando le due GIF
2026-08-06T14:53:43	Addominali e Core / Schiena e Trapezio	coppia		(nessuno)	EX110	superman-a-terra	EX448	stesso esercizio a catalogo due volte. EX110 'Superman' (pattern core, gruppo_target VUOTO, nessun gif_slug) e EX448 'Superman a terra' (pattern isolamento, gruppo_target lombari, gif_slug superman-a-terra, GIF verificata via Worker) hanno stesso attrezzo (corpo libero), stesso luogo, stesso livello e descrizioni sovrapponibili. SOPRAVVIVE EX448: ha la GIF, ed e' gia' classificato secondo la regola 9 (estensione attiva del rachide -> Schiena e Trapezio, gruppo_target lombari, MAI in Addominali e Core). EX110 muore: 0 righe training_logs, 0 workout_sets, 0 schede su 96, nessun codice lo cita in alternativa. NON va riclassificato tra le funzioni core: in uno slot core produrrebbe lo stimolo opposto a quello richiesto. Rilevato il 2026-08-05 rimisurando la baseline
