codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	uso	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX587	Battle rope onde alternate		cardio_metabolico		battle rope											finisher					battle-rope-onde-alternate
EX588	Boxe diretto sacco		cardio_metabolico		sacco											finisher					boxe-diretto-sacco
EX589	Boxe diretto		cardio_metabolico		corpo libero											finisher					boxe-diretto
EX590	Boxe diretti alternati		cardio_metabolico		corpo libero											finisher					boxe-diretti-alternati
EX591	Boxe footwork		cardio_metabolico		corpo libero											riscaldamento					boxe-footwork
EX592	Boxe gancio		cardio_metabolico		corpo libero											finisher					boxe-gancio
EX593	Boxe jab		cardio_metabolico		corpo libero											finisher					boxe-jab
EX594	Burpee navy seal		cardio_metabolico		corpo libero											finisher					burpee-navy-seal
EX595	Burpee		cardio_metabolico		corpo libero											finisher					burpee
EX596	Camminata bear crawl		cardio_metabolico		corpo libero											riscaldamento					camminata-bear-crawl
EX597	Spostamento laterale rapido		cardio_metabolico		corpo libero											finisher					spostamento-laterale-rapido
EX598	Corsa all'indietro		cardio_metabolico		corpo libero											riscaldamento					corsa-all-indietro
EX599	Corsa calciata sul posto		cardio_metabolico		corpo libero											finisher					corsa-calciata-sul-posto
EX600	Corsa zigzag conetti		cardio_metabolico		conetti											riscaldamento					corsa-zigzag-conetti
EX601	Corsa laterale scaletta agilità		cardio_metabolico		scaletta agilita											riscaldamento					corsa-laterale-scaletta-agilita
EX602	Spostamento laterale con tocco a terra		cardio_metabolico		corpo libero											riscaldamento					spostamento-laterale-con-tocco-a-terra
EX603	Corsa passi corti		cardio_metabolico		corpo libero											riscaldamento					corsa-passi-corti
EX604	Corsa falcata lunga		cardio_metabolico		corpo libero											finisher					corsa-falcata-lunga
EX605	Corsa resistenza con elastico		cardio_metabolico		elastico											finisher					corsa-resistenza-con-elastico
EX606	Corsa scaletta agilità		cardio_metabolico		scaletta agilita											riscaldamento					corsa-scaletta-agilita
EX607	Corsa sforbiciata		cardio_metabolico		corpo libero											finisher					corsa-sforbiciata
EX608	Corsa sul posto		cardio_metabolico		corpo libero											finisher					corsa-sul-posto
EX609	Calcio circolare sacco		cardio_metabolico		sacco											finisher					calcio-circolare-sacco
EX610	Jumping jack		cardio_metabolico		corpo libero											finisher					jumping-jack
EX611	Pistol jump box		cardio_metabolico		box																pistol-jump-box
EX612	Jumping rimbalzi		cardio_metabolico		corpo libero											riscaldamento					jumping-rimbalzi
EX613	Salto all'indietro		cardio_metabolico		corpo libero																salto-all-indietro
EX614	Salto con la corda		cardio_metabolico		corda											finisher					salto-con-la-corda
EX615	Salto in lungo da fermo		cardio_metabolico		corpo libero																salto-in-lungo-da-fermo
EX616	Salto monopodalico avanti		cardio_metabolico		corpo libero																salto-monopodalico-avanti
EX617	Salto verticale esplosivo		cardio_metabolico		corpo libero																salto-verticale-esplosivo
EX618	Skip con calcio		cardio_metabolico		corpo libero											riscaldamento					skip-con-calcio
EX619	Skip ginocchia alte		cardio_metabolico		corpo libero											finisher					skip-ginocchia-alte
EX620	Skip power		cardio_metabolico		corpo libero											finisher					skip-power
EX621	Skip sul posto		cardio_metabolico		corpo libero											finisher					skip-sul-posto
EX622	Squat jump box		cardio_metabolico		box																squat-jump-box
EX623	Squat jump ginocchia alte		cardio_metabolico																		squat-jump-ginocchia-alte
EX624	Squat thrust		cardio_metabolico		corpo libero											finisher					squat-thrust
EX625	Lancio rotazionale palla medica al muro			core anti-rotazione	palla medica																lancio-rotazionale-palla-medica-al-muro
EX626	Piegamenti con rotazione a T			core anti-rotazione	corpo libero																piegamenti-con-rotazione-a-t
EX627	Retroversione bacino da supino			core anti-estensione	corpo libero																retroversione-bacino-da-supino
EX628	Torsione busto gomiti alti in piedi			core anti-rotazione	corpo libero																torsione-busto-gomiti-alti-in-piedi
EX629	Abduzione clamshell decubito laterale			glutei	corpo libero																abduzione-clamshell-decubito-laterale
EX630	Abduzione clamshell elastico decubito laterale			glutei	elastico																abduzione-clamshell-elastico-decubito-laterale
EX631	Abduzione anca decubito laterale			glutei	corpo libero																abduzione-anca-decubito-laterale
EX632	Abduzione fire hydrant elastico quadrupedia			glutei	elastico																abduzione-fire-hydrant-elastico-quadrupedia
EX633	Abduzione fire hydrant quadrupedia			glutei	corpo libero																abduzione-fire-hydrant-quadrupedia
EX634	Adduzione anca decubito laterale			adduttori	corpo libero																adduzione-anca-decubito-laterale
EX635	Affondo inverso con knee drive			quadricipiti	corpo libero																affondo-inverso-con-knee-drive
EX636	Affondo inverso Bosu con knee drive			quadricipiti	bosu																affondo-inverso-bosu-con-knee-drive
EX637	Affondo split maniglie elastico			quadricipiti	elastico + maniglie																affondo-split-maniglie-elastico
EX638	Affondo alternato			quadricipiti	corpo libero																affondo-alternato
EX639	Affondo camminato con knee drive			quadricipiti	corpo libero																affondo-camminato-con-knee-drive
EX640	Affondo jump lunge			quadricipiti	corpo libero																affondo-jump-lunge
EX641	Affondo laterale			quadricipiti	corpo libero																affondo-laterale
EX642	Camminata laterale elastico caviglie			glutei	elastico																camminata-laterale-elastico-caviglie
EX643	Donkey kick elastico quadrupedia			glutei	elastico																donkey-kick-elastico-quadrupedia
EX644	Hip hinge monopodalico elastico			ischiocrurali	elastico																hip-hinge-monopodalico-elastico
EX645	Hip thrust elastico in ginocchio			glutei	elastico																hip-thrust-elastico-in-ginocchio
