codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX587	Battle rope onde alternate		cardio_metabolico		battle rope				finisher												battle-rope-onde-alternate
EX588	Boxe diretto sacco		cardio_metabolico		sacco				finisher												boxe-diretto-sacco
EX589	Boxe diretto		cardio_metabolico		corpo libero				finisher												boxe-diretto
EX590	Boxe diretti alternati		cardio_metabolico		corpo libero				finisher												boxe-diretti-alternati
EX591	Boxe footwork		cardio_metabolico		corpo libero				riscaldamento												boxe-footwork
EX592	Boxe gancio		cardio_metabolico		corpo libero				finisher												boxe-gancio
EX593	Boxe jab		cardio_metabolico		corpo libero				finisher												boxe-jab
EX594	Burpee navy seal		cardio_metabolico		corpo libero				finisher												burpee-navy-seal
EX595	Burpee		cardio_metabolico		corpo libero				finisher												burpee
EX596	Camminata bear crawl		cardio_metabolico		corpo libero				riscaldamento												camminata-bear-crawl
EX597	Corsa all'indietro		cardio_metabolico		corpo libero				riscaldamento												corsa-all-indietro
EX598	Corsa zigzag conetti		cardio_metabolico		conetti				riscaldamento												corsa-zigzag-conetti
EX599	Corsa laterale scaletta agilità		cardio_metabolico		scaletta agilità				riscaldamento												corsa-laterale-scaletta-agilita
EX600	Spostamento laterale con tocco a terra		cardio_metabolico		corpo libero				riscaldamento												spostamento-laterale-con-tocco-a-terra
EX601	Corsa passi corti		cardio_metabolico		corpo libero				riscaldamento												corsa-passi-corti
EX602	Corsa falcata lunga		cardio_metabolico		corpo libero				finisher												corsa-falcata-lunga
EX603	Corsa resistenza con elastico		cardio_metabolico		elastico				finisher												corsa-resistenza-con-elastico
EX604	Corsa scaletta agilità		cardio_metabolico		scaletta agilità				riscaldamento												corsa-scaletta-agilita
EX605	Corsa sforbiciata		cardio_metabolico		corpo libero				finisher												corsa-sforbiciata
EX606	Corsa sul posto		cardio_metabolico		corpo libero				finisher												corsa-sul-posto
EX607	Calcio circolare sacco		cardio_metabolico		sacco				finisher												calcio-circolare-sacco
EX608	Jumping jack		cardio_metabolico		corpo libero				finisher												jumping-jack
EX609	Pistol jump box		dominante ginocchia	quadricipiti	box				principale;finisher												pistol-jump-box
EX610	Jumping rimbalzi		cardio_metabolico		corpo libero				riscaldamento												jumping-rimbalzi
EX611	Salto all'indietro		dominante ginocchia	quadricipiti	corpo libero				principale;finisher												salto-all-indietro
EX612	Salto con la corda		cardio_metabolico		corda				finisher												salto-con-la-corda
EX613	Salto monopodalico avanti		dominante ginocchia	quadricipiti	corpo libero				principale;finisher												salto-monopodalico-avanti
EX614	Salto verticale esplosivo		dominante ginocchia	quadricipiti	corpo libero				principale;finisher												salto-verticale-esplosivo
EX615	Skip con calcio		cardio_metabolico		corpo libero				riscaldamento												skip-con-calcio
EX616	Skip ginocchia alte		cardio_metabolico		corpo libero				finisher												skip-ginocchia-alte
EX617	Skip power		cardio_metabolico		corpo libero				finisher												skip-power
EX618	Skip sul posto		cardio_metabolico		corpo libero				finisher												skip-sul-posto
EX619	Squat jump ginocchia alte		dominante ginocchia	quadricipiti	corpo libero				principale;finisher												squat-jump-ginocchia-alte
EX620	Squat thrust		composto	quadricipiti	corpo libero				principale;finisher												squat-thrust
EX621	Lancio rotazionale palla medica al muro			core anti-rotazione	palla medica																lancio-rotazionale-palla-medica-al-muro
EX622	Piegamenti con rotazione a T			core anti-rotazione	corpo libero																piegamenti-con-rotazione-a-t
EX623	Retroversione bacino da supino			core anti-estensione	corpo libero																retroversione-bacino-da-supino
EX624	Torsione busto gomiti alti in piedi			core anti-rotazione	corpo libero																torsione-busto-gomiti-alti-in-piedi
EX625	Abduzione clamshell decubito laterale			glutei	corpo libero																abduzione-clamshell-decubito-laterale
EX626	Abduzione clamshell elastico decubito laterale			glutei	elastico																abduzione-clamshell-elastico-decubito-laterale
EX627	Abduzione anca decubito laterale			glutei	corpo libero																abduzione-anca-decubito-laterale
EX628	Abduzione fire hydrant elastico quadrupedia			glutei	elastico																abduzione-fire-hydrant-elastico-quadrupedia
EX629	Abduzione fire hydrant quadrupedia			glutei	corpo libero																abduzione-fire-hydrant-quadrupedia
EX630	Adduzione anca decubito laterale			adduttori	corpo libero																adduzione-anca-decubito-laterale
EX631	Affondo inverso con knee drive			quadricipiti	corpo libero																affondo-inverso-con-knee-drive
EX632	Affondo inverso Bosu con knee drive			quadricipiti	Bosu																affondo-inverso-bosu-con-knee-drive
EX633	Affondo split maniglie elastico			quadricipiti	elastico;maniglie																affondo-split-maniglie-elastico
EX634	Affondo alternato			quadricipiti	corpo libero																affondo-alternato
EX635	Affondo camminato con knee drive			quadricipiti	corpo libero																affondo-camminato-con-knee-drive
EX636	Affondo jump lunge			quadricipiti	corpo libero																affondo-jump-lunge
EX637	Affondo laterale			quadricipiti	corpo libero																affondo-laterale
EX638	Camminata laterale elastico caviglie			glutei	elastico																camminata-laterale-elastico-caviglie
EX639	Donkey kick elastico quadrupedia			glutei	elastico																donkey-kick-elastico-quadrupedia
EX640	Hip hinge monopodalico elastico			ischiocrurali	elastico																hip-hinge-monopodalico-elastico
EX641	Hip thrust elastico in ginocchio			glutei	elastico																hip-thrust-elastico-in-ginocchio
EX642	Leg press elastico supino alternato			quadricipiti	elastico																leg-press-elastico-supino-alternato
EX643	Squat pistol al box			quadricipiti	box																squat-pistol-al-box
